place,link,rating,city,category,fee,alamat,deskripsi
ITC Mega Grosir Surabaya,https://www.google.com/maps/place/ITC+Mega+Grosir+Surabaya/data=!4m7!3m6!1s0x2dd7f911623bd455:0x13126f6f6481985d!8m2!3d-7.241554!4d112.7460695!16s%2Fg%2F11bbrkpc_j!19sChIJVdQ7YhH51y0RXZiBZG9vEhM?authuser=0&hl=id&rclk=1,"4,4",Surabaya,Mall,5000,"ITC Mega Grosir, Kapasan, Kec. Simokerto, Surabaya, Jawa Timur, Indonesia",Mal perbelanjaan kasual dengan pujasera
Pakuwon City Mall,https://www.google.com/maps/place/Pakuwon+City+Mall/data=!4m7!3m6!1s0x2dd7fa09223e74e3:0x8ed839093684b2ab!8m2!3d-7.2768784!4d112.8061882!16s%2Fg%2F11d_wtp8d4!19sChIJ43Q-Ign61y0Rq7KENgk52I4?authuser=0&hl=id&rclk=1,"4,5",Surabaya,Mall,5000,"Jl. Raya Laguna KJW Putih Tambak No.2, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",Mal lokal dengan restoran outdoor
Trans Icon Mall Surabaya,https://www.google.com/maps/place/Trans+Icon+Mall+Surabaya/data=!4m7!3m6!1s0x2dd7fbc86a0f1b3f:0xfbb9ee57379d54c7!8m2!3d-7.3386863!4d112.7287286!16s%2Fg%2F11t700pdwz!19sChIJPxsPasj71y0Rx1SdN1fuufs?authuser=0&hl=id&rclk=1,"4,6",Surabaya,Mall,5000,"Menanggal, Gayungan, Surabaya, East Java, Indonesia",Trans Icon Mall Surabaya
Dago Dreampark,https://www.google.com/maps/place/Dago+Dreampark/data=!4m7!3m6!1s0x2e68e72b74834179:0x3e7cac47b7036e5f!8m2!3d-6.8486423!4d107.625939!16s%2Fg%2F11b_23qvxh!19sChIJeUGDdCvnaC4RX24Dt0esfD4?authuser=0&hl=id&rclk=1,"4,2",Bandung,"Air, Wahana, Anak",30000,"Mekarwangi, Jl. Dago Giri No.Km. 2.2, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40135, Indonesia",Dago Dreampark
Floating Market Lembang,https://www.google.com/maps/place/Floating+Market+Lembang/data=!4m7!3m6!1s0x2e68e11c4a9d27e5:0x7bcd1ace08104f55!8m2!3d-6.8179174!4d107.6187923!16s%2Fg%2F11b7kjv1h6!19sChIJ5SedShzhaC4RVU8QCM4azXs?authuser=0&hl=id&rclk=1,"4,5",Bandung,Lainnya,40000,"Jl. Grand Hotel No.33E, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Floating Market Lembang
Taman Hutan Raya Ir. H. Djuanda,https://www.google.com/maps/place/Taman+Hutan+Raya+Ir.+H.+Djuanda/data=!4m7!3m6!1s0x2e68e0b82dc93d87:0xf664c059175258b1!8m2!3d-6.858932!4d107.63074!16s%2Fg%2F121tbx7k!19sChIJhz3JLbjgaC4RsVhSF1nAZPY?authuser=0&hl=id&rclk=1,"4,6",Bandung,Alam,0,"Kompleks Tahura, Jl. Ir. H. Juanda No.99, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198, Indonesia",Taman Hutan Raya Ir. H. Djuanda
Taman Sejarah Bandung,https://www.google.com/maps/place/Taman+Sejarah+Bandung/data=!4m7!3m6!1s0x2e68e63782a282eb:0x4957808ac9586362!8m2!3d-6.9101223!4d107.6102605!16s%2Fg%2F11g__wy1wd!19sChIJ64KigjfmaC4RYmNYyYqAV0k?authuser=0&hl=id&rclk=1,"4,6",Bandung,Alam,0,"Jl. Aceh No.53, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Taman Sejarah Bandung
Gua Belanda Taman Hutan Raya Ir. H. Djuanda Ciburial Cimenyan Bandung,https://www.google.com/maps/place/Gua+Belanda+Taman+Hutan+Raya+Ir.+H.+Djuanda+Ciburial+Cimenyan+Bandung/data=!4m7!3m6!1s0x2e68e730e42888e5:0x5f13719c88214ae3!8m2!3d-6.8544594!4d107.6377907!16s%2Fg%2F11c58njh9d!19sChIJ5Ygo5DDnaC4R40ohiJxxE18?authuser=0&hl=id&rclk=1,"4,5",Bandung,Alam,17000,"4JWQ+647, Taman Hutan Raya Juanda, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198, Indonesia",Gua Belanda
Wisata Puncak Bintang,https://www.google.com/maps/place/Wisata+Puncak+Bintang/data=!4m7!3m6!1s0x2e68df9daeb00ebb:0xf4b66264d8c2ebda!8m2!3d-6.8414772!4d107.6773577!16s%2Fg%2F11p06wkpz8!19sChIJuw6wrp3faC4R2uvC2GRitvQ?authuser=0&hl=id&rclk=1,"4,6",Bandung,Healing,15000,"5M5G+CW5, Cimenyan, Bandung Regency, West Java 40197, Indonesia",Wisata Puncak Bintang
Bukit Moko,https://www.google.com/maps/place/Bukit+Moko/data=!4m7!3m6!1s0x2e68ddfdf6797443:0x86df2e31f3f65628!8m2!3d-6.8421463!4d107.67683!16s%2Fg%2F11b7tn7ry3!19sChIJQ3R59v3daC4RKFb28zEu34Y?authuser=0&hl=id&rclk=1,"4,5",Bandung,Alam,15000,"Cimenyan, Bandung Regency, West Java 40197, Indonesia",Bukit Moko
Peta Park,https://www.google.com/maps/place/Peta+Park/data=!4m7!3m6!1s0x2e68e8a7ac23de71:0xcd4044117c0489a6!8m2!3d-6.931545!4d107.588444!16s%2Fg%2F11cs6spvj1!19sChIJcd4jrKfoaC4RpokEfBFEQM0?authuser=0&hl=id&rclk=1,"4,4",Bandung,"Air, Wahana, Anak",15000,"Jl. Peta No.229, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40242, Indonesia",Peta Park
Taman Lalu Lintas Ade Irma Suryani Nasution,https://www.google.com/maps/place/Taman+Lalu+Lintas+Ade+Irma+Suryani+Nasution/data=!4m7!3m6!1s0x2e68e636e8c7889b:0xda87790f9febae9f!8m2!3d-6.911211!4d107.6133389!16s%2Fg%2F122blz3v!19sChIJm4jH6DbmaC4Rn67rnw95h9o?authuser=0&hl=id&rclk=1,"4,4",Bandung,Alam,0,"Jl. Belitung No.1, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",Ade Irma Suryani Nasution Traffic Garden
Taman Balai Kota Bandung,https://www.google.com/maps/place/Taman+Balai+Kota+Bandung/data=!4m7!3m6!1s0x2e68e630aea2b7ed:0xc8491de085a0b144!8m2!3d-6.9128301!4d107.6097488!16s%2Fg%2F11h3dq35nd!19sChIJ7beirjDmaC4RRLGgheAdScg?authuser=0&hl=id&rclk=1,"4,6",Bandung,Alam,0,"Jl. Wastukencana No.2, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",Taman Balai Kota Bandung
Curug Dago,https://www.google.com/maps/place/Curug+Dago/data=!4m7!3m6!1s0x2e68e6de2e06f0f1:0xe61f70cd002fbbb3!8m2!3d-6.8655225!4d107.6181878!16s%2Fg%2F122jdw0f!19sChIJ8fAGLt7maC4Rs7svAM1wH-Y?authuser=0&hl=id&rclk=1,"4,1",Bandung,Alam,15000,"4JM9+Q7W, Jl. Dagopojok, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia",Curug Dago
Tebing Karaton,https://www.google.com/maps/place/Tebing+Karaton/data=!4m7!3m6!1s0x2e68e72171df7dc1:0x2f905d027e880a47!8m2!3d-6.8340683!4d107.6636151!16s%2Fg%2F11b5v6k4cf!19sChIJwX3fcSHnaC4RRwqIfgJdkC8?authuser=0&hl=id&rclk=1,"4,5",Bandung,Alam,17000,"Puncak Kordon, RT.2/RW.10, Ciburial, Kec. Cimenyan, Bandung Barat, Jawa Barat 40198, Indonesia",Tebing Karaton
Trans Studio Bandung,https://www.google.com/maps/place/Trans+Studio+Bandung/data=!4m7!3m6!1s0x2e68e7d87c2b519b:0x4d60c5efa75acded!8m2!3d-6.9255538!4d107.6362431!16s%2Fg%2F11dfqys1xd!19sChIJm1ErfNjnaC4R7c1ap-_FYE0?authuser=0&hl=id&rclk=1,"4,6",Bandung,"Anak, Wahana, Ekstrem",200000,"Trans Studio Mall, Kecamatan Batununggal, Jl. Gatot Subroto No.289A, Cibangkong, Kota Bandung, Jawa Barat 40273, Indonesia",Trans Studio Bandung
Taman Cikapayang Dago,https://www.google.com/maps/place/Taman+Cikapayang+Dago/data=!4m7!3m6!1s0x2e68e64e4b2c807f:0x6cd449c3edd1d765!8m2!3d-6.8985539!4d107.6125776!16s%2Fg%2F11b7ys5pxv!19sChIJf4AsS07maC4RZdfR7cNJ1Gw?authuser=0&hl=id&rclk=1,"4,5",Bandung,Alam,0,"Jl. Ir. H. Juanda No.79, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",Cikapayang Dago Park
Taman Lansia,https://www.google.com/maps/place/Taman+Lansia/data=!4m7!3m6!1s0x2e68e7b0387507a1:0xd6cafc7a2548c272!8m2!3d-6.9021326!4d107.6209387!16s%2Fg%2F11ddxbnglb!19sChIJoQd1OLDnaC4RcsJIJXr8ytY?authuser=0&hl=id&rclk=1,"4,5",Bandung,Alam,0,"3JXC+49W, Cisangkuy St, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",Taman Lansia
The Great Asia Africa,https://www.google.com/maps/place/The+Great+Asia+Africa/data=!4m7!3m6!1s0x2e68e15afd2a93ad:0xad35b2a8d387f68e!8m2!3d-6.8329768!4d107.6044676!16s%2Fg%2F11j40w1gcp!19sChIJrZMq_VrhaC4RjvaH06iyNa0?authuser=0&hl=id&rclk=1,"4,5",Bandung,Lainnya,50000,"Jl. Raya Lembang - Bandung No.71, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",The Great Asia Africa
Bird Pavilion,https://www.google.com/maps/place/Bird+Pavilion/data=!4m7!3m6!1s0x2e68e0cc15812021:0xa1568d5377956001!8m2!3d-6.8408955!4d107.6376637!16s%2Fg%2F11c4b31y75!19sChIJISCBFczgaC4RAWCVd1ONVqE?authuser=0&hl=id&rclk=1,"4,3",Bandung,Lainnya,50000,"3701 S 10th St, Omaha, NE 68108, United States",Mutual of Omaha's Wild Kingdom Pavilion
Jendela Alam,https://www.google.com/maps/place/Jendela+Alam/data=!4m7!3m6!1s0x2e68e16cb94e611b:0x549ea88e56d1da8b!8m2!3d-6.819371!4d107.596634!16s%2Fg%2F11f2w6s1h6!19sChIJG2FOuWzhaC4Ri9rRVo6onlQ?authuser=0&hl=id&rclk=1,"4,5",Bandung,Alam,122000,"Komplek Graha Puspa, Jl. Sersan Bajuri No.KM 4, RW.5, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559, Indonesia",Jendela Alam
Famoso Garden,https://www.google.com/maps/place/Famoso+Garden/data=!4m7!3m6!1s0x2e68e737b697a1f3:0x3226030d1a760b83!8m2!3d-6.865014!4d107.6312!16s%2Fg%2F11rjmqvv75!19sChIJ86GXtjfnaC4Rgwt2Gg0DJjI?authuser=0&hl=id&rclk=1,"4,4",Bandung,Healing,25000,"Jl. Lembah Pakar Timur 2 No.7, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198, Indonesia",Famoso Garden
Cartil,https://www.google.com/maps/place/Cartil/data=!4m7!3m6!1s0x2e68e7dfe7c03c1f:0xb769a78a4830b336!8m2!3d-6.8582622!4d107.6647915!16s%2Fg%2F11nxs583hc!19sChIJHzzA59_naC4RNrMwSIqnabc?authuser=0&hl=id&rclk=1,"4,7",Bandung,"Edukasi, Anak",25000,"4MR7+MWV, Jl. Padasuka Atas, Cimenyan, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40197, Indonesia",Cartil (Caringin Tilu)
Alun-alun Kota Bandung,https://www.google.com/maps/place/Alun-alun+Kota+Bandung/data=!4m7!3m6!1s0x2e68e89dbe0ec231:0x177412aac90cd065!8m2!3d-6.9218295!4d107.6070623!16s%2Fg%2F1219y3hj!19sChIJMcIOvp3oaC4RZdAMyaoSdBc?authuser=0&hl=id&rclk=1,"4,6",Bandung,"Air, Wahana, Anak",0,"Jl. Asia Afrika, Kb. Pisang, Kec. Regol, Kota Bandung, Jawa Barat, Indonesia",Alun-Alun Bandung
Curug Maribaya,https://www.google.com/maps/place/Curug+Maribaya/data=!4m7!3m6!1s0x2e68e0a52b861003:0xa130fdfd96505b36!8m2!3d-6.8301382!4d107.6549448!16s%2Fg%2F1yg4dcvvc!19sChIJAxCGK6XgaC4RNltQlv39MKE?authuser=0&hl=id&rclk=1,"4,2",Bandung,Alam,45000,"5M93+WXW, Kampung Cikondang Lamajang Pangalengan, Cibodas, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Curug Maribaya
Museum Konperensi Asia Afrika,https://www.google.com/maps/place/Museum+Konperensi+Asia+Afrika/data=!4m7!3m6!1s0x2e68e62f1591964f:0xed1630ec8b20a472!8m2!3d-6.921237!4d107.6095853!16s%2Fm%2F0fpk55x!19sChIJT5aRFS_maC4RcqQgi-wwFu0?authuser=0&hl=id&rclk=1,"4,7",Bandung,Sejarah,0,"Jl. Asia Afrika No.65, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",Asian African Conference Museum
Kampung Wisata Augmentedreality Dago Pojok Tanggulan,https://www.google.com/maps/place/Kampung+Wisata+Augmentedreality+Dago+Pojok+Tanggulan/data=!4m7!3m6!1s0x2e68e6e6c7a6cd81:0x492e18f3cfbec30b!8m2!3d-6.869957!4d107.6147321!16s%2Fg%2F11c2jg4kvw!19sChIJgc2mx-bmaC4RC8O-z_MYLkk?authuser=0&hl=id&rclk=1,"4,3",Bandung,Healing,35000,"Jl. Dagopojok No.95, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia",Kampung Wisata Augmentedreality Dago Pojok Tanggulan
Amazing Artgames,https://www.google.com/maps/place/Amazing+Artgames/data=!4m7!3m6!1s0x2e68e6b7bbae1b27:0x50f1993e2ce7327!8m2!3d-6.8516591!4d107.5955534!16s%2Fg%2F11c52gs7hg!19sChIJJxuuu7fmaC4RJ3PO4pMZDwU?authuser=0&hl=id&rclk=1,"4,5",Bandung,"Edukasi, Anak",50000,"Jl. Dr. Setiabudi No.293-295, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154, Indonesia",Amazing Artgames
Dusun Bambu,https://www.google.com/maps/place/Dusun+Bambu/data=!4m10!3m9!1s0x2e68e18bdbcb51d9:0x86ddef582346b19e!5m2!4m1!1i2!8m2!3d-6.7905049!4d107.5778343!16s%2Fg%2F12hssxwmh!19sChIJ2VHL24vhaC4RnrFGI1jv3YY?authuser=0&hl=id&rclk=1,"4,5",Bandung,Lainnya,40000,"Jl. Kolonel Masturi No.KM. 11, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551, Indonesia",Dusun Bambu
Taman Ganesha,https://www.google.com/maps/place/Taman+Ganesha/data=!4m7!3m6!1s0x2e68e650bc5cbe59:0xec4c2ff7e496c0d7!8m2!3d-6.893227!4d107.610507!16s%2Fg%2F11c44pgt2p!19sChIJWb5cvFDmaC4R18CW5PcvTOw?authuser=0&hl=id&rclk=1,"4,6",Bandung,Alam,0,"4J46+P62, Jl. Ganesa, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",Ganesha Park
Farm House Susu Lembang,https://www.google.com/maps/place/Farm+House+Susu+Lembang/data=!4m7!3m6!1s0x2e68e13bbef5ad89:0x356bebed022b2371!8m2!3d-6.832969!4d107.6056183!16s%2Fg%2F1pzw8hhtm!19sChIJia31vjvhaC4RcSMrAu3razU?authuser=0&hl=id&rclk=1,"4,4",Bandung,Healing,30000,"Jl. Raya Lembang No.108, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Farmhouse Susu Lembang
Taman Superhero,https://www.google.com/maps/place/Taman+Superhero/data=!4m7!3m6!1s0x2e68e7c8d93010ed:0xa66f5600b3c7e78f!8m2!3d-6.910999!4d107.630531!16s%2Fg%2F11b73qnglc!19sChIJ7RAw2cjnaC4Rj-fHswBWb6Y?authuser=0&hl=id&rclk=1,"4,4",Bandung,"Taman, Anak",0,"Jl. Anggrek No.51-61, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia",Taman Superhero
Taman Maluku,https://www.google.com/maps/place/Taman+Maluku/data=!4m7!3m6!1s0x2e68e63679ff3b3b:0xfe66cba7e5cbf1e4!8m2!3d-6.9093621!4d107.6152518!16s%2Fg%2F11clwy0pt7!19sChIJOzv_eTbmaC4R5PHL5afLZv4?authuser=0&hl=id&rclk=1,"4,5",Bandung,"Taman, Anak",0,"Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",Taman Maluku
Taman Foto Bandung,https://www.google.com/maps/place/Taman+Foto+Bandung/data=!4m7!3m6!1s0x2e68e7cc26b87267:0x9f9ec2af2a61bc68!8m2!3d-6.9134781!4d107.6271312!16s%2Fg%2F11cm9xljz_!19sChIJZ3K4JsznaC4RaLxhKq_Cnp8?authuser=0&hl=id&rclk=1,"4,4",Bandung,"Taman, Anak",0,"Jl. Kemuning No.4, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",Taman Foto Bandung
Wisata Maribaya,https://www.google.com/maps/place/Wisata+Maribaya/data=!4m7!3m6!1s0x2e68e1540f8b878b:0x1298bf9d829573a7!8m2!3d-6.8304235!4d107.6547571!16s%2Fg%2F11p01xypxd!19sChIJi4eLD1ThaC4Rp3OVgp2_mBI?authuser=0&hl=id&rclk=1,"4,6",Bandung,Healing,50000,"5M93+RWJ, Jl. Maribaya, Cibodas, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Wisata Maribaya
LEMBANG Wonderland,https://www.google.com/maps/place/LEMBANG+Wonderland/data=!4m7!3m6!1s0x2e68e12960dfc0a3:0xa8f4f56d908395c1!8m2!3d-6.8172979!4d107.6121455!16s%2Fg%2F11fmz8zrzk!19sChIJo8DfYCnhaC4RwZWDkG319Kg?authuser=0&hl=id&rclk=1,"4,4",Bandung,"Taman, Anak",35000,"Jl. Raya Lembang No.177, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Lembang Wonderland
Sudut Pandang Bandung,https://www.google.com/maps/place/Sudut+Pandang+Bandung/data=!4m7!3m6!1s0x2e68e1faed889683:0x932dff1d8f7ba812!8m2!3d-6.8423638!4d107.6232403!16s%2Fg%2F11kfl9ws19!19sChIJg5aI7frhaC4REqh7jx3_LZM?authuser=0&hl=id&rclk=1,"4,6",Bandung,Lainnya,50000,"Jl. Pagermaneuh, RT.05/RW.07, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Sudut Pandang Bandung
Orchid Forest Cikole,https://www.google.com/maps/place/Orchid+Forest+Cikole/data=!4m7!3m6!1s0x2e68e038e1a71607:0x79f858778d1e2e62!8m2!3d-6.780003!4d107.6349463!16s%2Fg%2F1pzwq8br7!19sChIJBxan4TjgaC4RYi4ejXdY-Hk?authuser=0&hl=id&rclk=1,"4,6",Bandung,Lainnya,50000,"Genteng, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Orchid Forest Cikole
Wisata Batu Kuda,https://www.google.com/maps/place/Wisata+Batu+Kuda/data=!4m7!3m6!1s0x2e68dc923e7817fd:0xaec06689ca98c385!8m2!3d-6.8930812!4d107.7451856!16s%2Fg%2F11bxgbfpt3!19sChIJ_Rd4PpLcaC4RhcOYyolmwK4?authuser=0&hl=id&rclk=1,"4,5",Bandung,Healing,12000,"Cibiru Wetan, Cileunyi, Bandung Regency, West Java 40625, Indonesia",Wisata Batu Kuda
Kebun Begonia Lembang,https://www.google.com/maps/place/Kebun+Begonia+Lembang/data=!4m7!3m6!1s0x2e68e0f367d63315:0xac823530fc733ca6!8m2!3d-6.825677!4d107.637794!16s%2Fg%2F11bv1mgdhq!19sChIJFTPWZ_PgaC4Rpjxz_DA1gqw?authuser=0&hl=id&rclk=1,"4,4",Bandung,Lainnya,30000,"Jl. Maribaya No.120 A, Langensari, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Kebun Begonia
Gunung Putri Lembang,https://www.google.com/maps/place/Gunung+Putri+Lembang/data=!4m7!3m6!1s0x2e68e05a4048dbf5:0xe4065e4e8662d324!8m2!3d-6.8004462!4d107.6337131!16s%2Fg%2F11c5q_z3rh!19sChIJ9dtIQFrgaC4RJNNihk5eBuQ?authuser=0&hl=id&rclk=1,"4,6",Bandung,Alam,25000,"Jl. Gunung Putri No.184, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Gunung Putri Lembang
Masjid Agung Trans Studio,https://www.google.com/maps/place/Masjid+Agung+Trans+Studio/data=!4m7!3m6!1s0x2e68e7d8683ac67f:0x23ea404d0be9684a!8m2!3d-6.9259359!4d107.6354559!16s%2Fg%2F11bbydz3hk!19sChIJf8Y6aNjnaC4RSmjpC01A6iM?authuser=0&hl=id&rclk=1,"4,8",Bandung,Lainnya,0,"Pusat Terpadu Transtudio, Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273, Indonesia",Grand Mosque of Trans Studio
Oray Tapa Bandung Heritage View Park,https://www.google.com/maps/place/Oray+Tapa+Bandung+Heritage+View+Park/data=!4m7!3m6!1s0x2e68e63a678eb8eb:0x75985ac61630e5b8!8m2!3d-6.8572763!4d107.6931546!16s%2Fg%2F11b5qz3606!19sChIJ67iOZzrmaC4RuOUwFsZamHU?authuser=0&hl=id&rclk=1,"4,3",Bandung,Healing,25000,"Mekarmanik, Cimenyan, Bandung Regency, West Java 15317, Indonesia",Oray Tapa
Fairy Garden Edutainment Park by The Lodge,https://www.google.com/maps/place/Fairy+Garden+Edutainment+Park+by+The+Lodge/data=!4m7!3m6!1s0x2e68de15b935c959:0xf900c6176cd029e7!8m2!3d-6.8243062!4d107.6886301!16s%2Fg%2F11f62vn7s2!19sChIJWck1uRXeaC4R5ynQbBfGAPk?authuser=0&hl=id&rclk=1,"4,3",Bandung,Healing,65000,"Jalan Maribaya Timur. 1, RT.01/RW.10, Cibodas, Lembang, West Bandung Regency, West Java 40391, Indonesia",Fairy Garden
Bukit senyum,https://www.google.com/maps/place/Bukit+senyum/data=!4m7!3m6!1s0x2e691d7b9d91a6db:0xb3b082e5376d1980!8m2!3d-6.7623484!4d107.5097621!16s%2Fg%2F11dx8msdj9!19sChIJ26aRnXsdaS4RgBltN-WCsLM?authuser=0&hl=id&rclk=1,"4,3",Bandung,Alam,0,"Bukit Senyum, Johor Bahru, Johor, Malaysia",Bukit Senyum
Paris Van Java Resort Lifestyle Place,https://www.google.com/maps/place/Paris+Van+Java+Resort+Lifestyle+Place/data=!4m7!3m6!1s0x2e68e6603f408a09:0xb0506a362a7810b2!8m2!3d-6.8895433!4d107.5960046!16s%2Fg%2F122_9h8y!19sChIJCYpAP2DmaC4RshB4KjZqULA?authuser=0&hl=id&rclk=1,"4,6",Bandung,Healing,0,"Jl. Raya Majalaya - Rancaekek No.137, Bojongloa, Kec. Rancaekek, Kabupaten Bandung, Jawa Barat 40394, Indonesia",Paris Van Java Resort Lifestyle Place
De Driekleur,https://www.google.com/maps/place/De+Driekleur/data=!4m7!3m6!1s0x2e68e768ea3704df:0xb28aaf496e625ed8!8m2!3d-6.9053797!4d107.6108387!16s%2Fg%2F11hds0k7dz!19sChIJ3wQ36mjnaC4R2F5ibkmvirI?authuser=0&hl=id&rclk=1,"4,7",Bandung,Lainnya,500000,"3JV6+R8W, Citarum, Bandung Wetan, Bandung City, West Java 40116, Indonesia",De Driekleur
Kyotoku Floating Market,https://www.google.com/maps/place/Kyotoku+Floating+Market/data=!4m7!3m6!1s0x2e68e1705baa2c93:0x4b9b174c678960!8m2!3d-6.819875!4d107.618707!16s%2Fg%2F11g0vyhzns!19sChIJkyyqW3DhaC4RYIlnTBebSwA?authuser=0&hl=id&rclk=1,"4,5",Bandung,Lainnya,60000,"5JJ9+3F4, Jl. Grand Hotel, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Kyotoku Floating Market
Noah's Park | Wisata Lembang Bandung,https://www.google.com/maps/place/Noah%27s+Park+%7C+Wisata+Lembang+Bandung/data=!4m7!3m6!1s0x2e68e147ef6c2d45:0xb989e8767bf54f62!8m2!3d-6.8302969!4d107.6341305!16s%2Fg%2F11s1wg1804!19sChIJRS1s70fhaC4RYk_1e3boibk?authuser=0&hl=id&rclk=1,"4,5",Bandung,Healing,250000,"Jl. Sukanagara No.20, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",Noah's Park | Wisata Lembang Bandung
Imahnoong,https://www.google.com/maps/place/Imahnoong/data=!4m7!3m6!1s0x2e68e127020be60b:0x407817eebb5c1bc1!8m2!3d-6.8323103!4d107.6185914!16s%2Fg%2F11cp5rn2ns!19sChIJC-YLAifhaC4RwRtcu-4XeEA?authuser=0&hl=id&rclk=1,"4,6",Bandung,Lainnya,5000,"Lintang : -6.8315 Latitude :107,6184 Jalan Pasar Laksana No.31, RW 12, RT 02, Wangunsari, Lembang, West Bandung Regency, West Java 40391, Indonesia",Imahnoong
Museum MANDALA WANGSIT Siliwangi,https://www.google.com/maps/place/Museum+MANDALA+WANGSIT+Siliwangi/data=!4m7!3m6!1s0x2e68e63023209b95:0x3bdecfc50c8635e9!8m2!3d-6.9173255!4d107.6110696!16s%2Fg%2F122916dj!19sChIJlZsgIzDmaC4R6TWGDMXP3js?authuser=0&hl=id&rclk=1,"4,5",Bandung,Sejarah,10000,"Jl. Lembong No.38, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",Mandala Wangsit Siliwangi Museum
Puncak Eurad,https://www.google.com/maps/place/Puncak+Eurad/data=!4m7!3m6!1s0x2e68dfc55b9afee7:0x2e3cff63f791d2ae!8m2!3d-6.7903231!4d107.68087!16s%2Fg%2F11c2pkr6fm!19sChIJ5_6aW8XfaC4RrtKR92P_PC4?authuser=0&hl=id&rclk=1,"4,4",Bandung,Healing,5000,"6M5J+V8H, Cupunagara, Lembang, West Bandung Regency, West Java 41283, Indonesia",Eurad High Land
Taman Kupu-Kupu Cihanjuang,https://www.google.com/maps/place/Taman+Kupu-Kupu+Cihanjuang/data=!4m7!3m6!1s0x2e68e41b0574b8f3:0x5415b0049a70df9e!8m2!3d-6.8590047!4d107.568779!16s%2Fg%2F11b6zyc6y_!19sChIJ87h0BRvkaC4Rnt9wmgSwFVQ?authuser=0&hl=id&rclk=1,"4,1",Bandung,Alam,20000,"Jl. Cihanjuang Cibaligo Permai Raya No.58, Cihanjuang, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559, Indonesia",Taman Kupu-kupu
Ciwangun Indah Camp Official,https://www.google.com/maps/place/Ciwangun+Indah+Camp+Official/data=!4m10!3m9!1s0x2e68e18dca67e25f:0xfc46171474c08f3f!5m2!4m1!1i2!8m2!3d-6.786939!4d107.5837331!16s%2Fg%2F11c2lrv_99!19sChIJX-Jnyo3haC4RP4_AdBQXRvw?authuser=0&hl=id&rclk=1,"4,4",Bandung,Lainnya,45000,"Ciwangun Indah Cp Jl. Kolonel Masturi, RT.03/RW.15, Cihanjuang Rahayu, Parongpong, West Bandung Regency, West Java 40559, Indonesia",Ciwangun Indah Camp Official
